Country,Year,Growth_Rate_Pct
Canada,2026,
Canada,2027,8.266081392626967
Canada,2028,6.1399153911901205
Canada,2029,4.58254924123398
Canada,2030,3.4705048513296255
Canada,2031,2.690807852108623
Canada,2032,2.151103282051925
Canada,2033,1.7808313843046708
Canada,2034,1.5283498188512823
Canada,2035,1.3569043780655488
China,2026,
China,2027,20.33083342541444
China,2028,16.803739656371253
China,2029,13.925003806200031
China,2030,11.678539081798833
China,2031,9.986088118270953
China,2032,8.744520876103824
China,2033,7.851395539368866
China,2034,7.217942159628055
China,2035,6.773154009870708
France,2026,
France,2027,34.735107463492284
France,2028,29.17376932725986
France,2029,23.498627986215737
France,2030,18.19937199554973
France,2031,13.645878969170377
France,2032,10.004468714399973
France,2033,7.256174910712043
France,2034,5.271195826551911
France,2035,3.882620945074966
Germany,2026,
Germany,2027,18.58528722603443
Germany,2028,15.62537575792302
Germany,2029,12.877339797815823
Germany,2030,10.440421329419047
Germany,2031,8.365770825313778
Germany,2032,6.659993293197042
Germany,2033,5.297216900895507
Germany,2034,4.233241698683332
Germany,2035,3.4173827886866404
India,2026,
India,2027,36.03906382735096
India,2028,31.730098241941175
India,2029,27.212066801196542
India,2030,22.79610755244532
India,2031,18.766466231412736
India,2032,15.313415486033888
India,2033,12.510318971413836
India,2034,10.333114665022979
India,2035,8.699329948863799
Japan,2026,
Japan,2027,28.698602381450833
Japan,2028,25.39974942435441
Japan,2029,21.894085632589988
Japan,2030,18.377272999871685
Japan,2031,15.047439471761281
Japan,2032,12.062819591915218
Japan,2033,9.516240882341641
Japan,2034,7.433179518023314
Japan,2035,5.787285119123942
South Korea,2026,
South Korea,2027,30.05302835350967
South Korea,2028,26.33925990014432
South Korea,2029,22.41395305619043
South Korea,2030,18.521779174612373
South Korea,2031,14.899369384247517
South Korea,2032,11.721461033411828
South Korea,2033,9.074837992692132
South Korea,2034,6.9645293010426546
South Korea,2035,5.339480226144344
UAE,2026,
UAE,2027,7.242652780927217
UAE,2028,3.961890815207747
UAE,2029,2.4064846410196017
UAE,2030,1.685216806545986
UAE,2031,1.3541896991778657
UAE,2032,1.2029847330084609
UAE,2033,1.1340680569682737
UAE,2034,1.1026881268957345
UAE,2035,1.0884063089292573
UK,2026,
UK,2027,14.994838771425023
UK,2028,12.253971124132622
UK,2029,9.862345172305954
UK,2030,7.857199740613008
UK,2031,6.231637851204064
UK,2032,4.949331840658333
UK,2033,3.9594351309703457
UK,2034,3.2079479981290904
UK,2035,2.6446662322040515
USA,2026,
USA,2027,21.8739672663818
USA,2028,18.039392380588627
USA,2029,14.638616377930358
USA,2030,11.782437254093825
USA,2031,9.49134948739625
USA,2032,7.720334922775485
USA,2033,6.390113302888545
USA,2034,5.412381366979724
USA,2035,4.705116261593156
