Country,Model_Type,K_Capacity,P0_Initial,r_GrowthRate,Strategy_Factor
Canada,S-Curve,3.2758762339748535,0.22547631442694682,0.3958181805252384,1.01
China,S-Curve,124.3679199773753,4.423083218520176,0.37661317120734217,1.057706037501453
France,S-Curve,25.588413678157043,0.13918090226887805,0.4260049840915239,1.0104474574211386
Germany,S-Curve,10.67683150978771,0.35903990947853714,0.31962783752132445,1.0105360549324873
India,S-Curve,28.194394941482454,0.232900584632763,0.37773434132487116,1.046633377607947
Japan,S-Curve,23.76832096847122,0.26678206986371095,0.3430535398265979,1.0102825901017585
South Korea,S-Curve,22.36095101933112,0.21389327672376912,0.36057822364137465,1.0100820764383671
UAE,S-Curve,10.831985611899368,0.03478228844698829,0.7875584529399989,1.0107648257634374
UK,S-Curve,11.177392846278048,0.5361880947931168,0.3242902161117749,1.0108901560644123
USA,S-Curve,150.75732516503072,3.756063259710315,0.3634000760553125,1.03
