Country,Year,Gov_Investment,Patents_Lag2
USA,2016,0.061326658322903634,0.021569240387621133
USA,2017,0.07384230287859823,0.02469521725539231
USA,2018,0.09887359198998748,0.030947170990934664
USA,2019,0.12390488110137672,0.062206939668646447
USA,2020,0.18648310387984982,0.09346670834635824
USA,2021,0.24906132665832292,0.12472647702407001
USA,2022,0.311639549436796,0.2116286339481088
USA,2023,0.3742177722152691,0.2185057830572054
China,2016,0.12390488110137672,0.09346670834635824
China,2017,0.18648310387984982,0.15598624570178182
China,2018,0.24906132665832292,0.2185057830572054
China,2019,0.311639549436796,0.31228508909034075
China,2020,0.3742177722152691,0.4685839324788997
China,2021,0.4993742177722153,0.6248827758674586
China,2022,0.6245306633291614,0.939043451078462
China,2023,0.7496871088861076,0.9999999999999999
UK,2016,0.011264080100125156,0.00437636761487965
UK,2017,0.013767209011264079,0.005939356048765239
UK,2018,0.017521902377972465,0.0075023444826508275
UK,2019,0.023779724655819776,0.009065332916536419
UK,2020,0.030037546933667086,0.012191309784307597
UK,2021,0.03629536921151439,0.015317286652078774
UK,2022,0.0425531914893617,0.018443263519849953
UK,2023,0.04881101376720901,0.021569240387621133
Germany,2016,0.008760951188986232,0.0034385745545482964
Germany,2017,0.011264080100125156,0.00437636761487965
Germany,2018,0.013767209011264079,0.005939356048765239
Germany,2019,0.017521902377972465,0.0075023444826508275
Germany,2020,0.023779724655819776,0.009065332916536419
Germany,2021,0.030037546933667086,0.012191309784307597
Germany,2022,0.03629536921151439,0.015317286652078774
Germany,2023,0.0425531914893617,0.018443263519849953
South Korea,2016,0.0050062578222778474,0.00437636761487965
South Korea,2017,0.007509386733416771,0.005939356048765239
South Korea,2018,0.011264080100125156,0.009065332916536419
South Korea,2019,0.013767209011264079,0.012191309784307597
South Korea,2020,0.017521902377972465,0.015317286652078774
South Korea,2021,0.023779724655819776,0.021569240387621133
South Korea,2022,0.030037546933667086,0.07377305407939981
South Korea,2023,0.03629536921151439,0.07783682400750234
Japan,2016,0.006257822277847309,0.009065332916536419
Japan,2017,0.008760951188986232,0.012191309784307597
Japan,2018,0.011264080100125156,0.015317286652078774
Japan,2019,0.013767209011264079,0.018443263519849953
Japan,2020,0.017521902377972465,0.02469521725539231
Japan,2021,0.023779724655819776,0.030947170990934664
Japan,2022,0.030037546933667086,0.082213191622382
Japan,2023,0.03629536921151439,0.08721475461081589
France,2016,0.003754693366708386,0.002813379180994061
France,2017,0.0050062578222778474,0.0034385745545482964
France,2018,0.007509386733416771,0.00437636761487965
France,2019,0.011264080100125156,0.005939356048765239
France,2020,0.017521902377972465,0.009065332916536419
France,2021,0.023779724655819776,0.012191309784307597
France,2022,0.03629536921151439,0.015317286652078774
France,2023,0.061326658322903634,0.018443263519849953
Canada,2016,0.0050062578222778474,0.001875586120662707
Canada,2017,0.007509386733416771,0.002813379180994061
Canada,2018,0.011264080100125156,0.0034385745545482964
Canada,2019,0.013767209011264079,0.00437636761487965
Canada,2020,0.017521902377972465,0.005939356048765239
Canada,2021,0.023779724655819776,0.009065332916536419
Canada,2022,0.028785982478097622,0.012191309784307597
Canada,2023,0.028785982478097622,0.015317286652078774
UAE,2016,0.0,0.0006251953735542357
UAE,2017,0.0012515644555694619,0.0012503907471084715
UAE,2018,0.0050062578222778474,0.002813379180994061
UAE,2019,0.011264080100125156,0.005939356048765239
UAE,2020,0.023779724655819776,0.009065332916536419
UAE,2021,0.061326658322903634,0.015317286652078774
UAE,2022,0.12390488110137672,0.021569240387621133
UAE,2023,0.18648310387984982,0.02469521725539231
India,2016,0.0012515644555694619,0.002813379180994061
India,2017,0.0025031289111389233,0.00437636761487965
India,2018,0.0050062578222778474,0.005939356048765239
India,2019,0.007509386733416771,0.009065332916536419
India,2020,0.011264080100125156,0.015317286652078774
India,2021,0.017521902377972465,0.021569240387621133
India,2022,0.023779724655819776,0.08096280087527352
India,2023,0.030037546933667086,0.08721475461081589
