Year,Country,USA_Score,Country_Score,Gap_to_USA,Is_Leading
2026,China,76.35640020860038,80.82390461237503,4.4675044037746545,True
2027,China,93.0585741960171,97.25607802703286,4.1975038310157515,True
2028,China,109.84577553901784,113.59873617869275,3.7529606396749102,True
2029,China,125.92567722753712,129.41736451537085,3.4916872878337273,True
2030,China,140.7627911336644,144.53142200893248,3.7686308752680873,True
2031,China,154.1230795883741,158.96445716933454,4.841377580960426,True
2032,China,166.02189752589243,172.86513731209212,6.843239786199689,True
2033,China,176.63088488540245,186.4374629921376,9.806578106735145,True
2034,China,186.19082198727136,199.89441123478807,13.703589247516703,True
2035,China,194.95131663018844,213.43356756484454,18.482250934656093,True
2026,Germany,76.35640020860038,4.958880027201824,-71.39752018139855,False
2027,Germany,93.0585741960171,5.880502123451737,-87.17807207256537,False
2028,Germany,109.84577553901784,6.7993526766937125,-103.04642286232412,False
2029,Germany,125.92567722753712,7.674928424923448,-118.25074880261367,False
2030,Germany,140.7627911336644,8.4762232892168,-132.2865678444476,False
2031,Germany,154.1230795883741,9.185324704234551,-144.93775488413957,False
2032,Germany,166.02189752589243,9.797066713494944,-156.22483081239747,False
2033,Germany,176.63088488540245,10.316038587234207,-166.31484629816825,False
2034,Germany,186.19082198727136,10.752741434361269,-175.4380805529101,False
2035,Germany,194.95131663018844,11.120203769451107,-183.83111286073733,False
2026,India,76.35640020860038,7.874731136239008,-68.48166907236137,False
2027,India,93.0585741960171,10.712710516660463,-82.34586367935664,False
2028,India,109.84577553901784,14.111864087971592,-95.73391145104624,False
2029,India,125.92567722753712,17.951993970484487,-107.97368325705264,False
2030,India,140.7627911336644,22.04434982380463,-118.71844130985977,False
2031,India,154.1230795883741,26.18129528942342,-127.9417842989507,False
2032,India,166.02189752589243,30.190545816718245,-135.83135170917419,False
2033,India,176.63088488540245,33.967479397600535,-142.66340548780192,False
2034,India,186.19082198727136,37.477377992572656,-148.7134439946987,False
2035,India,194.95131663018844,40.73765876032942,-154.21365786985902,False
2026,UK,76.35640020860038,6.365715914486308,-69.99068429411408,False
2027,UK,93.0585741960171,7.320244752510473,-85.73832944350663,False
2028,UK,109.84577553901784,8.21726543069894,-101.62851010831889,False
2029,UK,125.92567722753712,9.027680511199044,-116.89799671633807,False
2030,UK,140.7627911336644,9.737003400908346,-131.02578773275604,False
2031,UK,154.1230795883741,10.343778190412378,-143.77930139796175,False
2032,UK,166.02189752589243,10.85572609791753,-155.1661714279749,False
2033,UK,176.63088488540245,11.285551530760394,-165.34533335464207,False
2034,UK,186.19082198727136,11.647586155169249,-174.5432358321021,False
2035,UK,194.95131663018844,11.955625933081885,-182.99569069710657,False
